aqm,qmult,min_delay,bandwidth,protocol,run,flow,goodput_mean,goodput_std,delay_mean,delay_std,retr_mean,retr_std,util_mean,util_std
fifo,0.2,10,100,aurora,5,0,0.54577804,0.4402491056621714,20.17348383838384,0.09662854049491644,0.0,0.0,1.4117384785353533,0.9184714585255688
fifo,0.2,10,100,aurora,5,1,0.56813846,0.5732462500038383,20.159014141414136,0.07080784865135244,0.0,0.0,1.4117384785353533,0.9184714585255688
fifo,0.2,10,100,aurora,5,2,0.54157592,0.39433886648728705,20.245208080808084,0.06042229564974564,0.0,0.0,1.4117384785353533,0.9184714585255688
fifo,0.2,10,100,aurora,5,3,0.5518331,0.48403012667080925,20.20034747474747,0.12296926058849221,0.0,0.0,1.4117384785353533,0.9184714585255688
fifo,0.2,100,100,cubic,1,0,54.54589161645068,17.991170262605856,216.00516187015737,21.67707455938538,10.6098,73.03217326132867,86.20475220959595,18.50036740450422
fifo,0.2,100,100,cubic,1,1,26.043693451214395,11.130869856945866,219.4737425603134,27.78010097755602,1.306930693069307,5.270185147141276,86.20475220959595,18.50036740450422
fifo,0.2,100,100,cubic,1,2,29.521512021178637,7.0458482923488255,216.06370008883962,21.469255273612017,3.9702970297029703,28.70555885034972,86.20475220959595,18.50036740450422
fifo,0.2,100,100,cubic,1,3,28.15195273559921,22.004791689797916,215.18744355467118,30.68275502561671,3.75,25.84427920598227,86.20475220959595,18.50036740450422
fifo,0.2,100,100,cubic,2,0,34.365792749951495,20.20741757478311,215.78059976284206,21.909894245467697,3.21,16.853075731633137,82.76561474116163,24.66020647699605
fifo,0.2,100,100,cubic,2,1,33.47658332715332,12.348138522257361,219.2208554695183,32.06911220972594,9.01980198019802,80.26418630971347,82.76561474116163,24.66020647699605
fifo,0.2,100,100,cubic,2,2,33.338673990514415,9.000320956203556,217.02733066767595,33.24445929667515,5.881188118811881,48.05461208431776,82.76561474116163,24.66020647699605
fifo,0.2,100,100,cubic,2,3,37.23330418726003,16.870621111267628,212.42312738998945,21.982286051472425,6.34,31.724260225711912,82.76561474116163,24.66020647699605
fifo,0.2,100,100,cubic,3,0,36.260124026246494,20.493713179312564,214.71447892700576,21.45299548424646,8.25,43.97069157031439,85.36107717803031,19.353908027392706
fifo,0.2,100,100,cubic,3,1,34.73344395448106,11.869548201513515,217.7529738687976,26.281752472702475,7.0594059405940595,57.152571557573566,85.36107717803031,19.353908027392706
fifo,0.2,100,100,cubic,3,2,28.761572968766316,8.267169977733168,216.07572496181587,28.174482620551338,4.3861386138613865,33.42722551963583,85.36107717803031,19.353908027392706
fifo,0.2,100,100,cubic,3,3,41.50499358098332,18.087872739333633,212.89884572347094,21.552454143230225,4.09,26.16269801982906,85.36107717803031,19.353908027392706
fifo,0.2,100,100,cubic,4,0,36.59848058418293,21.35168601069747,218.87014151452414,22.332212495781775,16.82,106.88296062856453,86.43180160984849,18.991872415841772
fifo,0.2,100,100,cubic,4,1,50.531098001510465,11.110777476109792,222.92658883433853,30.814954914511095,17.26732673267327,136.36215685366008,86.43180160984849,18.991872415841772
fifo,0.2,100,100,cubic,4,2,23.315419711404903,16.276545341141944,219.61083773329315,31.14678503862603,1.8316831683168318,8.617504635253402,86.43180160984849,18.991872415841772
fifo,0.2,100,100,cubic,4,3,27.014227419454823,19.949259866049047,215.0734700891395,28.05666837233164,4.9,24.70369865572213,86.43180160984849,18.991872415841772
fifo,0.2,100,100,cubic,5,0,40.76978146591951,13.358708405285906,214.95145673673338,21.892311490991293,1.89,9.847211572702992,81.73244554924243,23.930711645269
fifo,0.2,100,100,cubic,5,1,36.16871761517794,8.858453988899305,218.9453320874553,29.777183875351565,9.742574257425742,86.84188545458304,81.73244554924243,23.930711645269
fifo,0.2,100,100,cubic,5,2,20.8817396208119,10.959002401161209,215.47463668446267,22.112447504848017,5.2772277227722775,44.136179900820856,81.73244554924243,23.930711645269
fifo,0.2,100,100,cubic,5,3,37.952518751900016,20.27373922110875,213.77722420738795,22.28800204157558,4.34,18.872362348314017,81.73244554924243,23.930711645269
fifo,0.2,100,100,orca,1,0,85.18236207368422,17.633299062788858,222.22147382217454,5.053059070695333,772.09,278.29147190191316,85.2721204229798,18.776466345607624
fifo,0.2,100,100,orca,1,1,11.174208156249998,16.983135060081594,219.90413963034217,4.758999246349852,98.92079207920793,115.47611728563761,85.2721204229798,18.776466345607624
fifo,0.2,100,100,orca,1,2,26.65191374468085,28.79268559916746,221.26596605325997,5.0791950205251215,217.8910891089109,239.93802954055027,85.2721204229798,18.776466345607624
fifo,0.2,100,100,orca,1,3,30.924018557894737,34.69547253543992,221.47419378180518,5.434124635066339,305.62,323.1873078565988,85.2721204229798,18.776466345607624
fifo,0.2,100,100,orca,2,0,85.8667144680851,17.127331202427733,222.01668793080293,4.984543898825212,750.1827000000001,267.7855910565108,85.13653014520202,18.490272468274465
fifo,0.2,100,100,orca,2,1,14.10428496842105,23.03710667330424,219.46904096004215,5.5404097780422275,116.79792079207921,167.2682385769446,85.13653014520202,18.490272468274465
fifo,0.2,100,100,orca,2,2,27.795003631578943,33.28938741897213,220.53356948019734,5.305476485684929,224.20792079207922,263.16425733110805,85.13653014520202,18.490272468274465
fifo,0.2,100,100,orca,2,3,26.53141558333333,36.83938892773697,219.49103500934504,5.792323289887276,255.47889999999998,343.424506246565,85.13653014520202,18.490272468274465
fifo,0.2,100,100,orca,3,0,86.85137512631577,17.963560089850713,222.08619104462426,5.079656240002461,791.7267676767676,274.6108305971966,85.70238520408164,18.042637924647178
fifo,0.2,100,100,orca,3,1,0.7392743333333336,0.9361769585324985,218.49898874790944,5.387924367544884,12.144,19.040967635203007,85.70238520408164,18.042637924647178
fifo,0.2,100,100,orca,3,2,28.51572146875,28.756572748259803,221.80973658862243,6.31820961353392,303.9638613861386,333.95928929428,85.70238520408164,18.042637924647178
fifo,0.2,100,100,orca,3,3,38.872131189473684,33.52306778316684,222.16670714048053,6.362238597776117,443.8248514851485,352.9781650148175,85.70238520408164,18.042637924647178
fifo,0.2,100,100,orca,4,0,58.583107322580645,24.118803348325386,228.73798424770294,7.120070074888847,1127.56,641.0316861328015,87.84577967171717,18.65583432495114
fifo,0.2,100,100,orca,4,1,52.50548622826088,24.378786374234043,227.87486249221598,7.5200273333745065,1013.3069306930693,602.915893679612,87.84577967171717,18.65583432495114
fifo,0.2,100,100,orca,4,2,8.467006053191488,15.047861791245035,223.75962784902978,7.491991119697585,102.24752475247524,201.73990214831545,87.84577967171717,18.65583432495114
fifo,0.2,100,100,orca,4,3,37.31839569565217,38.93135953435376,222.71101565641067,7.664166517132324,274.23,321.5501863212527,87.84577967171717,18.65583432495114
fifo,0.2,100,100,orca,5,0,70.65510780851064,21.024460507897402,225.75040244730178,6.782009266355144,987.21,532.1143132102652,85.87334438131312,18.909350187672345
fifo,0.2,100,100,orca,5,1,9.348500536842106,11.77816933961998,222.8300408367282,6.227079861995446,159.309900990099,188.06844472422824,85.87334438131312,18.909350187672345
fifo,0.2,100,100,orca,5,2,51.79802597849463,27.943347280635535,224.8921417794305,5.393895636118083,640.7580198019801,271.7249646168707,85.87334438131312,18.909350187672345
