protocol,bandwidth,delay,qmult,run,avg_thr,avg_goodput,avg_srtt,std_thr,std_goodput,std_srtt,avg_retr,std_retr,efficiency_thr,efficiency_gdp,efficiency_rtt,efficiency_q_avg,efficiency_q_std,jain_goodput_20,jain_goodput_total
cubic,100,41,0.2,4,94.014556,90.77484920910999,90.53722714232589,1.8240892677094054,2.8459901759779176,4.087742216261603,8.999999999999999e-05,0.00022991989451706185,0.9401455599999999,0.9077484920910999,0.9057047867292728,0.9404482,0.02145035953628258,0.6276634536812015,0.7842472557153928
cubic,100,41,0.2,5,93.757416,90.52208757151001,89.61509656932238,2.45877491406723,2.1775532032536833,4.257340405761402,0.000216,0.000494925831764082,0.93757416,0.9052208757151001,0.9150244003427295,0.93719728,0.028487844820695035,1.061902150288343,1.7471743779090434
cubic,100,41,0.4,1,94.497,90.974781890515,106.55203904178919,0.08764696457950083,0.3816001914170925,7.567500642298836,0.00012000000000000002,0.000283437545334529,0.94497,0.90974781890515,0.7695770136115369,0.94488532,0.00925614655308627,0.40955336587312585,0.7654609339905007
cubic,100,41,0.4,2,94.392488,91.05989584314997,104.8620257723956,0.03192002532646525,2.1567763203573063,7.890085454729219,0.000252,0.0005545752286304594,0.94392488,0.9105989584314997,0.7819799340705288,0.9440395200000001,0.009587322792411614,0.6511704891487573,0.6595993017210019
cubic,100,41,0.4,3,94.40080000000002,91.082904368495,106.51703361845516,0.039353409803445503,0.8893058761695941,5.360019513168919,0.00020400000000000003,0.00036750080558450914,0.9440080000000002,0.91082904368495,0.7698299249838729,0.9437276399999999,0.007943109254031024,1.5260832211404078,0.9100441918832068
cubic,100,41,0.4,4,94.425488,91.17894461466,106.54955714637752,0.059351563594001476,0.15477751278725138,7.337145305813855,0.00020999999999999998,0.00039870844116049464,0.94425488,0.9117894461466,0.7695949396331004,0.9438959199999999,0.009081612536247416,1.8575074820965463,1.2038266579491452
cubic,100,41,0.4,5,94.362468,90.940557176735,99.31056991969722,0.20924846418602444,0.3873217653732857,6.76564355700407,0.00018600000000000002,0.00046308348684602626,0.9436246800000001,0.9094055717673499,0.8256925729688734,0.9430568000000001,0.01004402441968148,0.6747014021633043,0.6715805014638847
cubic,100,41,0.6,1,94.44224000000001,91.19560227793501,121.38847036294469,0.060084398185077686,0.06420747281448452,7.812632572180122,0.000168,0.0004547017530321675,0.9444224000000001,0.9119560227793501,0.6755172031975081,0.9452561599999998,0.009860010286660592,0.942072425188117,0.8085398291864626
cubic,100,41,0.6,2,94.42108399999998,91.02027842341501,116.84455092439751,0.06422439857742213,0.388464083985044,7.203505664656205,0.000108,0.00033241698607559,0.9442108399999998,0.91020278423415,0.7017871124606988,0.9440412,0.010326869072574959,0.9281823167690754,0.7926631408353733
cubic,100,41,0.6,3,94.41144800000001,90.90041682083,121.49840116515722,0.04829433197646181,1.069952563582809,9.383056045062567,0.000234,0.0004597985829057167,0.9441144800000001,0.9090041682083,0.6749060005204052,0.94292716,0.010809725163573751,1.436461034356002,1.2412371840881045
cubic,100,41,0.6,4,94.427964,91.1672582267,121.49016734673059,0.06212819331197897,1.4757611466133775,7.342660294281413,0.000126,0.0003359887216152226,0.94427964,0.911672582267,0.6749517412876187,0.94463904,0.009948156917815186,0.963472517710832,0.7478272776612597
cubic,100,41,0.6,5,94.429476,93.31507607475999,122.79975290470483,0.059014363140189534,11.121388791261847,7.908240136978016,0.00017399999999999997,0.00045979858290571673,0.9442947599999999,0.9331507607475998,0.6677537866353339,0.9444032,0.010221271438885115,0.8435796703250952,0.8322302990336718
